instant_hour,dteday,season_hour,yr_hour,mnth_hour,hr,holiday_hour,weekday_hour,workingday_hour,weathersit_hour,temp_hour,atemp_hour,hum_hour,windspeed_hour,casual_hour,registered_hour,cnt_hour,instant_day,season_day,yr_day,mnth_day,holiday_day,weekday_day,workingday_day,weathersit_day,temp_day,atemp_day,hum_day,windspeed_day,casual_day,registered_day,cnt_day,rental_category,temp_category
1,2011-01-01,Spring,0,1,0,0,6,0,Clear,0.24,0.2879,0.81,0.194,3,13,16,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Rendah,Sejuk
2,2011-01-01,Spring,0,1,1,0,6,0,Clear,0.22,0.2727,0.8,0.194,8,32,40,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Rendah,Sejuk
3,2011-01-01,Spring,0,1,2,0,6,0,Clear,0.22,0.2727,0.8,0.194,5,27,32,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Rendah,Sejuk
4,2011-01-01,Spring,0,1,3,0,6,0,Clear,0.24,0.2879,0.75,0.194,3,10,13,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Rendah,Sejuk
5,2011-01-01,Spring,0,1,4,0,6,0,Clear,0.24,0.2879,0.75,0.194,0,1,1,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Rendah,Sejuk
6,2011-01-01,Spring,0,1,5,0,6,0,Mist,0.24,0.2576,0.75,0.0896,0,1,1,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Rendah,Sejuk
7,2011-01-01,Spring,0,1,6,0,6,0,Clear,0.22,0.2727,0.8,0.194,2,0,2,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Rendah,Sejuk
8,2011-01-01,Spring,0,1,7,0,6,0,Clear,0.2,0.2576,0.86,0.194,1,2,3,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Rendah,Sejuk
9,2011-01-01,Spring,0,1,8,0,6,0,Clear,0.24,0.2879,0.75,0.194,1,7,8,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Rendah,Sejuk
10,2011-01-01,Spring,0,1,9,0,6,0,Clear,0.32,0.3485,0.76,0.194,8,6,14,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Rendah,Sejuk
11,2011-01-01,Spring,0,1,10,0,6,0,Clear,0.38,0.3939,0.76,0.2537,12,24,36,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Rendah,Sejuk
12,2011-01-01,Spring,0,1,11,0,6,0,Clear,0.36,0.3333,0.81,0.2836,26,30,56,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Rendah,Sejuk
13,2011-01-01,Spring,0,1,12,0,6,0,Clear,0.42,0.4242,0.77,0.2836,29,55,84,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Rendah,Sejuk
14,2011-01-01,Spring,0,1,13,0,6,0,Mist,0.46,0.4545,0.72,0.2985,47,47,94,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Rendah,Sejuk
15,2011-01-01,Spring,0,1,14,0,6,0,Mist,0.46,0.4545,0.72,0.2836,35,71,106,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Rendah,Sejuk
16,2011-01-01,Spring,0,1,15,0,6,0,Mist,0.44,0.4394,0.77,0.2985,40,70,110,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Rendah,Sejuk
17,2011-01-01,Spring,0,1,16,0,6,0,Mist,0.42,0.4242,0.82,0.2985,41,52,93,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Rendah,Sejuk
18,2011-01-01,Spring,0,1,17,0,6,0,Mist,0.44,0.4394,0.82,0.2836,15,52,67,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Rendah,Sejuk
